Epoch,Train Loss,Validation Loss,Train PSNR,Validation PSNR,Train Accuracy,Validation Accuracy,Train MSE,Validation MSE
1,0.1227720505958455,0.0905962525272225,21.44186395053889,23.109678764802865,15.434932801680027,15.46598231993526,0.0124734835361124,0.0061048641868204
2,0.0875724555341248,0.0832852573908237,23.254383404905997,23.64852779572269,15.46617774112987,15.466309469291962,0.0059256805536255,0.0055548868753599
3,0.081501272157573,0.0848760438701474,23.69732330024629,23.77599775704993,15.466444911574683,15.465781662263064,0.0055038326707885,0.0055975142944918
4,0.078434138417823,0.0762866027024855,23.91209981958269,24.10024029375559,15.466606205208938,15.466508913614664,0.0053085758099547,0.0051718011978138
5,0.0763444455699903,0.0751985759171376,24.05868881117563,24.241828730020178,15.466724842638651,15.46660083977573,0.0051779759957522,0.005047390415019
6,0.0746028025844025,0.0736409434801842,24.193439082866657,24.33243126926652,15.466866431025824,15.46672121990158,0.0050579576979562,0.0049684091140123
7,0.0736998279090386,0.0722524899854717,24.26027864604708,24.43931119528161,15.466936838161804,15.467016586625432,0.004997939261574,0.0048699665562171
8,0.0724727146373507,0.0716723295265292,24.36390771648937,24.49656185242067,15.467054779189487,15.466986331020491,0.0049090074565141,0.0048301473313224
9,0.0716615903845957,0.0717643717416079,24.43908339240569,24.486742548195718,15.467156865148231,15.46705036393131,0.0048428174791924,0.0048259367897029
10,0.0709125108367115,0.0716568398457693,24.507639818152743,24.540404875881705,15.467249243567194,15.46690086801368,0.0047829971410065,0.0048014871532052
11,0.0701627259436304,0.0712593745126063,24.58291403955321,24.486079376864147,15.467374420683146,15.466595668103322,0.0047154555229156,0.0048562050656785
12,0.0694480359970643,0.0715268566172166,24.66331992197475,24.573355667849626,15.467509204067548,15.466876264365323,0.0046447985629869,0.0047786988590069
12,0.0694226043884932,0.070658045540373,24.664813377103417,24.48702746471727,15.467512583369896,15.466679043367684,0.0046425642016635,0.0048484250120481
